text,cleaned
"Kusus untuk kasus Tom Lembong yang dikasih Abolisi oleh Presiden, menurut saya usaha seorang presiden yang unfaedah. Udah jelas penanganannya cacat hukum, dan sangat jelas tidak terbukti adanya pelanggaran hukum, lalu Tom Lembong masuk jadi tersangka. 

Pertanyaan nya adalah apa gunanya ABOLISI terhadap orang yang tidak bersalah jadi tersangka??? 

dan kenapa presiden tidak memerintahkan melanjutkan kasus tersebut untuk mencari tersangka sebenarnya?? 
Atau menanyakan kenapa oknum"" pengadilan yang sudah melakukan persidangan bisa semudah itu memberi keputusan untuk mentersangkakakn Tom Lembong??  

Diluar nalar kan?",khusus kasus tom lembong kasih abolisi presiden turut usaha orang presiden unfaedah jelas penangananya cacat hukum jelas bukti pelangaran hukum tom lembong masuk jadi sangka pertanyan abolisi hadap orang salah jadi sangka presiden perintah lanjut kasus sebut cari sangka benar tanya oknum adil laku sidang mudah beri putus mentersangkakakn tom lembong luar nalar
"Kalo tom lebong menerima abolisi ini, berarti dia menerima klo dia dianggap bersalah. Tp klo dia banding, maka dia bisa membuktikan klo dia gak bersalah dan menteri2 selanjutnya akan diperiksa. Tom lembong minta Jokowi dan Rini di hadirkan dlm persidangan banding, apakah ini alasan abolisi? Lets see",tom lebong terima abolisi arti terima diangap salah banding bukti salah menteri lanjut periksa tom lembong minta jokowi rini hadir sidang banding alas abolisi lets
"Menjadi bukti bahwa kebijakan hukum di negara ini hanya formalitas depan publik...pada kenyataannya yg paling berperan dalam menentukan kebijakan hukum adalah tangan di bawah meja.. yg benar² jujur hanya bunyi kenthut dan aromanya...🤑.
Untuk apa proses sidang dilakukan klo ujung²nya ketika ta' sesuai selera semua jadi berubah.",jadi bukti bijak hukum negara formalitas publik nyata peran bijak hukum tangan bawah meja benar jujur bunyi kenthut aroma proses sidang laku ujung sesuai selera jadi ubah
Karuan bebasne AE pak..kok pegel2 sidang seng demo seng opo..akhir2 ya mek ngene,karuan bebasne pak pegal sidang seng demo seng akhir iya mek
"RUWET KAREPE DEWE KAKEAN DRAMA KOYOK JOKOWI, SISTEM Dan BIROKRASI TAEK WO",ruwet karepe drama koyok jokowi sistem birokrasi tai oi
"Cuma formalitas, Hasto pegang truf jadi amnesti
Kalo Tom Lembong biar tidak ada kegaduhan akibat hakim bego",formalitas hasto pegang truf jadi amnesti tom lembong biar gaduh akibat hakim bego
Seret mulyono ke pengadilan.,seret mulyono adil
"Lagu la wo, ujug2 jadi pahlawan kesiangan 🥱 kami sudah bosan dengan drama pemerintah dan cecunguk² nya.",lagu oi ujug jadi pahlawan siang bosan drama perintah cecunguk
Karena kalau tidak begitu akan menyeret juga  atasan atau tuanya.,seret atas tua
"Hasto dan Tom ma kecill Bozzzz, Kasus ecek2,Recehhhh🙄🙄🙄
Kasus Politik🥴🥴🥴🥴
Yg Penting yg Triliunan Aman Ya bozqu dan Mulyono Juga Aman 🤣🤣🤣🤣🤣🤣 

Rakyat Liat Drakor ,🙄🙄🙄🤦🤦🤦🤦",hasto tom boz kasus ecek receh kasus politik penting triliun aman iya bozqu mulyono aman rakyat lihat drama korea
