text,cleaned
"Kusus untuk kasus Tom Lembong yang dikasih Abolisi oleh Presiden, menurut saya usaha seorang presiden yang unfaedah. Udah jelas penanganannya cacat hukum, dan sangat jelas tidak terbukti adanya pelanggaran hukum, lalu Tom Lembong masuk jadi tersangka. 

Pertanyaan nya adalah apa gunanya ABOLISI terhadap orang yang tidak bersalah jadi tersangka??? 

dan kenapa presiden tidak memerintahkan melanjutkan kasus tersebut untuk mencari tersangka sebenarnya?? 
Atau menanyakan kenapa oknum"" pengadilan yang sudah melakukan persidangan bisa semudah itu memberi keputusan untuk mentersangkakakn Tom Lembong??  

Diluar nalar kan?",khusus untuk kasus tom lembong yang kasih abolisi oleh presiden menurut saya usaha seorang presiden yang unfaedah sudah jelas penangananya cacat hukum dan sangat jelas tidak terbukti adanya pelangaran hukum lalu tom lembong masuk jadi tersangka pertanyan nya adalah apa gunanya abolisi terhadap orang yang tidak bersalah jadi tersangka dan kenapa presiden tidak memerintahkan melanjutkan kasus tersebut untuk mencari tersangka sebenarnya atau menanyakan kenapa oknum pengadilan yang sudah melakukan persidangan bisa semudah itu memberi keputusan untuk mentersangkakakn tom lembong di luar nalar kan
"Kalo tom lebong menerima abolisi ini, berarti dia menerima klo dia dianggap bersalah. Tp klo dia banding, maka dia bisa membuktikan klo dia gak bersalah dan menteri2 selanjutnya akan diperiksa. Tom lembong minta Jokowi dan Rini di hadirkan dlm persidangan banding, apakah ini alasan abolisi? Lets see",kalau tom lebong menerima abolisi ini berarti dia menerima kalau dia diangap bersalah tapi kalau dia banding maka dia bisa membuktikan kalau dia tidak bersalah dan menteri selanjutnya akan diperiksa tom lembong meminta jokowi dan rini di hadirkan dalam persidangan banding apakah ini alasan abolisi lets se
"Menjadi bukti bahwa kebijakan hukum di negara ini hanya formalitas depan publik...pada kenyataannya yg paling berperan dalam menentukan kebijakan hukum adalah tangan di bawah meja.. yg benar² jujur hanya bunyi kenthut dan aromanya...🤑.
Untuk apa proses sidang dilakukan klo ujung²nya ketika ta' sesuai selera semua jadi berubah.",menjadi bukti bahwa kebijakan hukum di negara ini hanya formalitas depan publik pada kenyatanya yang paling berperan dalam menentukan kebijakan hukum adalah tangan di bawah meja yang benar jujur hanya bunyi kenthut dan aromanya untuk apa proses sidang dilakukan kalau ujungnya ketika aku sesuai selera semua jadi berubah
Karuan bebasne AE pak..kok pegel2 sidang seng demo seng opo..akhir2 ya mek ngene,karuan bebasne saja pak kok pegal sidang seng demo seng apa akhir iya mek ini
"RUWET KAREPE DEWE KAKEAN DRAMA KOYOK JOKOWI, SISTEM Dan BIROKRASI TAEK WO",ruwet karepe sendiri kebanyakan drama koyok jokowi sistem dan birokrasi tai oi
"Cuma formalitas, Hasto pegang truf jadi amnesti
Kalo Tom Lembong biar tidak ada kegaduhan akibat hakim bego",cuma formalitas hasto pegang truf jadi amnesti kalau tom lembong biar tidak ada kegaduhan akibat hakim bego
Seret mulyono ke pengadilan.,seret mulyono ke pengadilan
"Lagu la wo, ujug2 jadi pahlawan kesiangan 🥱 kami sudah bosan dengan drama pemerintah dan cecunguk² nya.",lagu lah oi ujug jadi pahlawan kesiangan kami sudah bosan dengan drama pemerintah dan cecunguk nya
Karena kalau tidak begitu akan menyeret juga  atasan atau tuanya.,karena kalau tidak begitu akan menyeret juga atasan atau tuanya
"Hasto dan Tom ma kecill Bozzzz, Kasus ecek2,Recehhhh🙄🙄🙄
Kasus Politik🥴🥴🥴🥴
Yg Penting yg Triliunan Aman Ya bozqu dan Mulyono Juga Aman 🤣🤣🤣🤣🤣🤣 

Rakyat Liat Drakor ,🙄🙄🙄🤦🤦🤦🤦",hasto dan tom sama kecil boz kasus ecek receh kasus politik yang penting yang triliunan aman iya bozqu dan mulyono juga aman rakyat lihat drama korea
