Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
King Purwa,@BosPurwa,2025-07-31T15:37:59.000Z,True,,0,0,0,2.7K,[],[],[],https://pbs.twimg.com/profile_images/1572816957141057537/A6n99X_i_normal.jpg,https://x.com/BosPurwa/status/1950944037160317073,tweet_id:1950944037160317073
AHMAD KAMIL MALIK,@malix01,2025-07-31T15:52:59.000Z,False,"Lah sama aja dengan setuju dengan putusan hakim, nganggep Tom bersalah",0,0,0,47,[],[],[],https://pbs.twimg.com/profile_images/1705108819813298176/FvqNXdMK_normal.jpg,https://x.com/malix01/status/1950947810955972977,tweet_id:1950947810955972977
seftian,@sefrtian,2025-07-31T14:54:01.000Z,False,,0,0,0,6K,[],[],[],https://pbs.twimg.com/profile_images/1891444618337914880/2bdJer-O_normal.jpg,https://x.com/sefrtian/status/1950932971898191896,tweet_id:1950932971898191896
snstlover,@safergieway,2025-07-31T15:13:31.000Z,False,"Matahin kaki orang, habis itu dikasih tongkat sambil bilang ""nih gue kasih tongkat, baik kan gue. Coba kalo ga gue kasih tongkat, ga bisa jalan lu!"" Padahal sedari awal bisa ga usah matahin kaki nya.",0,0,0,3.1K,[],[],[],https://pbs.twimg.com/profile_images/1670786457869451265/2piIYsUT_normal.jpg,https://x.com/safergieway/status/1950937879858835935,tweet_id:1950937879858835935
King Purwa,@BosPurwa,2025-07-31T15:37:59.000Z,True,,0,0,0,2.7K,[],[],[],https://pbs.twimg.com/profile_images/1572816957141057537/A6n99X_i_normal.jpg,https://x.com/BosPurwa/status/1950944037160317073,tweet_id:1950944037160317073
AHMAD KAMIL MALIK,@malix01,2025-07-31T15:52:59.000Z,False,"Lah sama aja dengan setuju dengan putusan hakim, nganggep Tom bersalah",0,0,0,47,[],[],[],https://pbs.twimg.com/profile_images/1705108819813298176/FvqNXdMK_normal.jpg,https://x.com/malix01/status/1950947810955972977,tweet_id:1950947810955972977
Pelaku macak korban,@brooklynbrick89,2025-07-31T14:41:38.000Z,False,"Tom tidak perlu berterimakasih kepada siapapun terutama unsur politisi. Dia emang gak salah kok.

Mengapresiasi iya, tp jgn smpe hutang budi.",0,0,0,5.5K,[],[],[],https://pbs.twimg.com/profile_images/1895846270486646785/G6kJslN4_normal.jpg,https://x.com/brooklynbrick89/status/1950929852841730513,tweet_id:1950929852841730513
kang Mamets,@5l4m3ts,2025-07-31T14:36:14.000Z,False,Tuker atau barter nih?,0,0,0,6.1K,[],[],[],https://pbs.twimg.com/profile_images/1933367154155663367/VaBKgVNk_normal.jpg,https://x.com/5l4m3ts/status/1950928494852198437,tweet_id:1950928494852198437
PresidenMU (Periode Selanjutnya),@RepublikIni,2025-07-31T14:39:33.000Z,False,"Alhamdulilah, presiden kadang kadang waras juga.",0,0,0,6.3K,[],[],[],https://pbs.twimg.com/profile_images/1265602590487613451/N35qZM8z_normal.jpg,https://x.com/RepublikIni/status/1950929330269524082,tweet_id:1950929330269524082
Tedy Ang 洪 斯 竣,@tedy_ang_,2025-07-31T14:40:53.000Z,False,"tangkap si jokontol dan antek anteknya macam LBP bahlil dll buang ke nusa kambangan, lengserkan gibran!!",0,0,0,2K,[],[],[],https://pbs.twimg.com/profile_images/1942176405888073728/378YPor8_normal.jpg,https://x.com/tedy_ang_/status/1950929666149388289,tweet_id:1950929666149388289
Peternak Gurame,@Peternak_Gurame,2025-07-31T14:55:07.000Z,False,"Apa karena ini?
Si Lontong itu mana berani hadiri panggilan begini?",0,0,0,3.5K,[],[],[],https://pbs.twimg.com/profile_images/1806331785808338945/Pt3GssQH_normal.jpg,https://x.com/Peternak_Gurame/status/1950933248764154089,tweet_id:1950933248764154089
ff.n,@fajar_nuri39325,2025-07-31T16:01:38.000Z,False,Klo di perhatikan polanya ko sama ya... sudah kuduga teman2..pahlawan kesiangan,0,0,0,45,[],[],"['\\U0001f923', '\\U0001f60f']",https://pbs.twimg.com/profile_images/1914654333268058113/hDRbiVqK_normal.png,https://x.com/fajar_nuri39325/status/1950949986725777604,tweet_id:1950949986725777604
Moh. Nur Kholis,@kholispkl,2025-07-31T14:52:04.000Z,False,"Pola Framing Yang Berulang, Mungkinkah Kebetulan?
PPATK (ngaco, Rakyat Brontak, Presiden Panggil Dan jadi ""Hero"")",0,0,0,1.9K,[],[],[],https://pbs.twimg.com/profile_images/1130145936708005888/yXBZiZpQ_normal.png,https://x.com/kholispkl/status/1950932480401322494,tweet_id:1950932480401322494
🄿🄻🄰🅃,@aenesaja,2025-07-31T14:51:41.000Z,False,Apakah abolisi dimungkinkan setelah vonis pengadilan tk 1? Setahu saya abolisi itu jika masih berproses... cmiiw ,0,0,0,506,[],[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1628362656368451601/cYI18Nl3_normal.jpg,https://x.com/aenesaja/status/1950932384024793140,tweet_id:1950932384024793140
-N-,@xxvhi3_thaxx,2025-07-31T15:09:44.000Z,False,Hasto kenapa diikutin jg? Emng dia gak bersalah ? Kyknya kasus org tuh berdua beda lah.,0,0,0,337,[],[],[],https://pbs.twimg.com/profile_images/1388744939782041600/GE4Qg4wE_normal.jpg,https://x.com/xxvhi3_thaxx/status/1950936924497342857,tweet_id:1950936924497342857
Verity Marple,@VerityMarple,2025-07-31T15:04:05.000Z,False,Bedanya apa abolisi dan amnesti? Ada yg bs jelasin dg simpel ga?,0,0,0,2.5K,[],[],[],https://pbs.twimg.com/profile_images/3205255065/b5a7a4e8801e8e63791b36f8bfa1b7b0_normal.jpeg,https://x.com/VerityMarple/status/1950935505538822625,tweet_id:1950935505538822625
PROSPEROUS™ - Y.O.L.L.O.,@PutuSambernyawa,2025-07-31T15:24:44.000Z,False,"Klo saya jadi om Tom Lembong, saya tetap fight memperjuangkan keadilan krn masih ada hak hukum saya utk membela diri dan krn kita semua tahu permainan hukum apa yg melibatkan om Tom....

Klo Hasto mah kita semua tau, dia dan mereka 11-12 jahatnya...",0,0,0,667,[],[],[],https://pbs.twimg.com/profile_images/880584861806993413/mBli-EDO_normal.jpg,https://x.com/PutuSambernyawa/status/1950940699438063854,tweet_id:1950940699438063854
Totopethul,@totopethul2,2025-07-31T14:29:33.000Z,False,"Presiden melihat efeknya lebih berbahaya jika diteruskan persidangan Tom Lembong, menyasar mentri sebelum dan sesudahnya, kementrian lain dan bisa ke bekas presiden ke 7 JW.",0,0,0,5.5K,[],[],[],https://pbs.twimg.com/profile_images/1728393082868232192/uElH_gw7_normal.jpg,https://x.com/totopethul2/status/1950926813724549261,tweet_id:1950926813724549261
Say It Louder,@irularr_,2025-07-31T14:44:10.000Z,False,udah ketebak polanya,0,0,0,5.3K,[],[],[],https://pbs.twimg.com/profile_images/1918557094971928576/5wZAppbE_normal.jpg,https://x.com/irularr_/status/1950930490409492622,tweet_id:1950930490409492622
Laurent Malau,@lmalau,2025-07-31T15:49:05.000Z,False,"kita hargai  ; sptnya mnrt belio keputusan pengadilan ngaco total.. dia pakai proses ini utk  ;  kudu intropeksilah, terlalu mahal harga dibayar atas kejadian ini,pak presiden,kenceng aja, ganti org2x yg mainin hukum gini, saya bantu tempeleng aja",0,0,0,487,[],"['@prabowo', '@tomlembong', '@KejaksaanRI']",['\\U0001f603'],https://pbs.twimg.com/profile_images/1616412301678247938/LkfJOa3Z_normal.jpg,https://x.com/lmalau/status/1950946828872253480,tweet_id:1950946828872253480
cilox ✪,@ecilox,2025-07-31T15:23:41.000Z,False,"Gw ga setuju. bukan ""memperalat"" pak tom atau mau dia jd tumbal, simbol nyata ketidak adilan. Tapi dari awal gw ga peduli tom lembong atau siapapun. Yg gw peduliin proses dan hukum itu sendiri. Kalo jalanya gini, ga bakal ada perbaikan. sunyi, dan besok mungkin ada korban lg.",0,0,0,1.4K,[],[],[],https://pbs.twimg.com/profile_images/1919517174911401985/bMnlatTJ_normal.jpg,https://x.com/ecilox/status/1950940437021401516,tweet_id:1950940437021401516
Ekong Sheng khong,@BapaEnte,2025-07-31T15:22:30.000Z,False,"Simalakama. Diterima, seolah masih punya kasus yg tak selesai. Sedangkan dia merasa tak bersalah, dan tak ingin jejak hidupnya ada label koruptor.
Ditolak, siapa pula yg mau dipenjara?
Banding, seolah tak menghargai abolisi. Bisa lebih berat vonisnya.
Haduh .... Pilihan yg berat.",0,0,0,592,[],[],[],https://pbs.twimg.com/profile_images/1322230620253229061/-lEPuNRN_normal.jpg,https://x.com/BapaEnte/status/1950940138424668614,tweet_id:1950940138424668614
0%,@uxxxyrrrr,2025-07-31T14:48:19.000Z,False,lanjut lagi ini mode pahlawan-pahlawanan ini ,0,0,0,1.2K,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1916255913218084864/7BS_w1gz_normal.jpg,https://x.com/uxxxyrrrr/status/1950931535621927406,tweet_id:1950931535621927406
샤샤 (𝐒𝐇𝐀),@dailyshansine,2025-07-31T14:55:56.000Z,False,,0,0,0,3.1K,[],[],[],https://pbs.twimg.com/profile_images/1798690251000762368/0Hm6NRaD_normal.jpg,https://x.com/dailyshansine/status/1950933451412045909,tweet_id:1950933451412045909
Areaarsenal,@Areaarsenal,2025-07-31T14:44:36.000Z,False,Hero game lagi gaes. Tp bos2 nya kagak ada yg dicopot gaes.,0,0,0,2.2K,[],[],[],https://pbs.twimg.com/profile_images/1891182633511698432/Rl8AP4Ih_normal.jpg,https://x.com/Areaarsenal/status/1950930599637651854,tweet_id:1950930599637651854
