Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Dika Santosa,@dikasntsa,2025-07-31T16:21:04.000Z,False,"Prabowo di mata pembenci:
1. Jika Prabowo bantu bebaskan tom lembong, maka komennya ""Pahlawan kesiangan"", ""cek ombak"", ""biar dibilang super hero""
"", ""biar dianggap heroik"".",0,0,0,196,[],[],[],https://pbs.twimg.com/profile_images/1940652290571972608/Vx9l9V3o_normal.jpg,https://x.com/dikasntsa/status/1950954876974100786,tweet_id:1950954876974100786
FreePalestine,@wahyu_djanti88,2025-07-31T15:14:17.000Z,False,Knp ga dr awal telp  &  ??? Bukan inteevensi...tp negor kinerja bawahan yg mengabaikan fakta yg ada.,0,0,0,328,[],"['@KejaksaanRI', '@kemenkum']",[],https://pbs.twimg.com/profile_images/1795837070600192000/jeUrrozM_normal.jpg,https://x.com/wahyu_djanti88/status/1950938069278118067,tweet_id:1950938069278118067
Tukang Edit,@4wijaya_,2025-07-31T14:42:01.000Z,False,Akan gua anggep ini bentuk perlawanan thdp mulyono kalo lanjutannya budi Arie masuk penjara. Kl engga emg engga brrt carmuk aja wkwk,0,0,0,8.3K,[],[],[],https://pbs.twimg.com/profile_images/1860349912959057922/0vlq4Rqn_normal.jpg,https://x.com/4wijaya_/status/1950929950435119571,tweet_id:1950929950435119571
Tan,@moomintan_,2025-07-31T14:20:53.000Z,False,Ini tuh prabowo lagi cari muka ke publik atau emang lagi mecahin kongsi dari mulyono ya:”,0,0,0,18K,[],[],[],https://pbs.twimg.com/profile_images/1946781812384215041/9j6HUldz_normal.jpg,https://x.com/moomintan_/status/1950924632594538584,tweet_id:1950924632594538584
ras ya?,@iyaadonghehe,2025-07-31T14:46:08.000Z,False,,0,0,0,6.7K,[],[],[],https://pbs.twimg.com/profile_images/1839389887549882368/rfgd3eON_normal.jpg,https://x.com/iyaadonghehe/status/1950930988869271797,tweet_id:1950930988869271797
???,@txtdaribahe,2025-07-31T15:41:50.000Z,False,atur,0,0,0,26,[],[],[],https://pbs.twimg.com/profile_images/1842778807591395328/qvGekDPi_normal.jpg,https://x.com/txtdaribahe/status/1950945004047761784,tweet_id:1950945004047761784
▁ ▂ ▃ ▄ ▅ ▆ ▇ █ ▉ ▊,@coffebit,2025-07-31T15:57:36.000Z,True,Masa die lagi aja sih jagoannya,0,0,0,2.1K,[],[],[],https://pbs.twimg.com/profile_images/1342443160828407810/zO8aMvnf_normal.jpg,https://x.com/coffebit/status/1950948970840375571,tweet_id:1950948970840375571
𝔏𝔦𝔢𝔟𝔢,@synthreb3l,2025-07-31T14:43:12.000Z,False,"fake heroism cuih, ngentot

14 tersangka mayday, belum lagi 2 mahasiswa undip, 11 warga maba sangaji, warga sukahaji mereka semua kena kriminalisasi, kenapa kalo politikus elit gampang banget bebasnya setelah drama tolol yang berbelit belit? anjing",0,0,0,8.7K,[],[],[],https://pbs.twimg.com/profile_images/1950817802815950848/IlOx3xNR_normal.jpg,https://x.com/synthreb3l/status/1950930249476153516,tweet_id:1950930249476153516
victhandy,@victhandy1,2025-07-31T14:12:27.000Z,False, abolisi adalah jelaskan donk,0,0,0,14K,[],['@grok'],[],https://pbs.twimg.com/profile_images/1797987940813217792/U8k4lTFA_normal.jpg,https://x.com/victhandy1/status/1950922509047799884,tweet_id:1950922509047799884
Apis,@apiissssss,2025-07-31T14:22:30.000Z,False, kesiangan mulu kek bocah sd hari minggu,0,0,0,9.5K,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1949794670164226049/nLWGlVEq_normal.jpg,https://x.com/apiissssss/status/1950925038477291918,tweet_id:1950925038477291918
Fajar Jukli,@70a34a20214241f,2025-07-31T14:32:45.000Z,False,"Semoga beneran  mulai berani melepaskan jeratan  dan opung. Yuk Prabowo, kamu bisa jadi presiden beneran.",0,0,0,790,[],"['@prabowo', '@jokowi']",[],https://pbs.twimg.com/profile_images/1793620638290362368/1fhwux-j_normal.jpg,https://x.com/70a34a20214241f/status/1950927618607321256,tweet_id:1950927618607321256
Know Ilmu,@knowilmu,2025-07-31T14:14:07.000Z,False,"Agustus, bulan kemerdekaan. Selamat Pak Tom Lembong atas abolisi yang diberikan. Semoga jadi babak baru mengabdi kembali kepada negeri dengan semangat yang baru. Saatnya buktikan, pengabdian bukan sekadar posisi, tapi niat untuk membangun Indonesia yang lebih baik. ",0,0,0,5.9K,[],[],"['\\U0001f1ee\\U0001f1e9', '\\U0001f525']",https://pbs.twimg.com/profile_images/1936104247864471552/LoU7dwQQ_normal.jpg,https://x.com/knowilmu/status/1950922929417719895,tweet_id:1950922929417719895
cinderella,@novitanay10,2025-07-31T16:12:09.000Z,False,pahlawan kesiangan....wiwi wowo cuma beda huruf vokalnya...yg lain samaaa ..gada beda...,0,0,0,10,[],[],"['\\U0001f922', '\\U0001f922', '\\U0001f92e', '\\U0001f92e', '\\U0001f92e']",https://pbs.twimg.com/profile_images/1386614914618257415/8pledGzT_normal.jpg,https://x.com/novitanay10/status/1950952632442638578,tweet_id:1950952632442638578
grand duchess,@persephonesheir,2025-07-31T14:43:02.000Z,False,So many words i wanna say but lets just simplify it as hah,0,0,0,187,[],[],[],https://pbs.twimg.com/profile_images/1949532281082728448/Skcoyrnk_normal.jpg,https://x.com/persephonesheir/status/1950930204852924515,tweet_id:1950930204852924515
Denny Herdiansyah,@DennyHerdi97841,2025-07-31T15:18:05.000Z,False,"Ini pemikiran liarku
Jika tom lembong banding ada kemungkinan terbongkar terjadi diskriminasi terhadap beliau. Maka dengan diberikan abolisi agar seakan pemerintah memaafkan tom Lembong tanpa bisa membersihkan nama baiknya.",0,0,0,1.4K,[],[],[],https://pbs.twimg.com/profile_images/1827028305234817024/rCaZ5vdx_normal.jpg,https://x.com/DennyHerdi97841/status/1950939025562566749,tweet_id:1950939025562566749
ハフィド,@ocinz__,2025-07-31T14:25:56.000Z,False,Apakah abolisi artinya tuduhannya dihapuskan atau hanya pidananya?,0,0,0,6.1K,[],[],[],https://pbs.twimg.com/profile_images/1853261151267913728/0WvziVcy_normal.jpg,https://x.com/ocinz__/status/1950925903439302734,tweet_id:1950925903439302734
※Faikar,@SteveNeedJobs,2025-07-31T14:26:38.000Z,False,Hah? Seriusan ini?,0,0,0,6.4K,[],[],[],https://pbs.twimg.com/profile_images/1932438011721187328/4WoeRiTw_normal.jpg,https://x.com/SteveNeedJobs/status/1950926079973327316,tweet_id:1950926079973327316
lawankadrun,@lawankadru25786,2025-07-31T14:18:19.000Z,False,Tau gitu gausa ditangkap,0,0,0,9K,[],[],[],https://pbs.twimg.com/profile_images/1927907727814303744/jYeyfrR__normal.jpg,https://x.com/lawankadru25786/status/1950923986155479343,tweet_id:1950923986155479343
mulyadi,@mulyadi61171296,2025-07-31T14:14:36.000Z,False,Bebaskan Tom lembong. Meskipun respon sudah terlambat...,0,0,0,4.4K,[],[],[],https://pbs.twimg.com/profile_images/1615321606636843010/6cc-ZSlU_normal.jpg,https://x.com/mulyadi61171296/status/1950923050653823000,tweet_id:1950923050653823000
Cryptoria,@BastardJhon,2025-07-31T14:49:46.000Z,False,JPU nya langsung ketar-ketir LOL,0,0,0,207,[],[],[],https://pbs.twimg.com/profile_images/1528621357944086528/DId8FY9i_normal.jpg,https://x.com/BastardJhon/status/1950931900551365115,tweet_id:1950931900551365115
Fiiiiii....!!!,@azkafii,2025-07-31T15:08:19.000Z,False,"Prabowo, mulutnya pro Jokowi.

Tapi setiap tindakannya anti Jokowi :

1. Budget IKN di stop, jadi ibukota provinsi saja.
2. Pagar laut proyeknya para Naga pro Jokowi dibongkar.
3. Pencopotan Jendral anak Try Sutrisno di cancel 
4. Gibran mo ditaruh di Papua.",0,0,0,2.5K,[],[],"['\\U0001f601', '\\U0001f601']",https://pbs.twimg.com/profile_images/1193007035035443200/WlL1BdHE_normal.jpg,https://x.com/azkafii/status/1950936571361767595,tweet_id:1950936571361767595
