text,cleaned
"Bukan pak Tom yang mencari kebenaran tapi kebenaran itu akan datang sendiri bila saatnya tiba, yang sabar pak Tom. Do'a kami menyertaimu.",pak tom cari benar benar datang tiba sabar pak tom doa
"Di duga hukuman 4.5 tahun penjara Terhadap bapak TOM lembong, adalah untuk menghentikan langkahnya dlm berpartisipasi di Pilpres tahun 2029..",duga hukum tahun penjara hadap bapak tom lembong untuk henti langkah partisipasi pilih presiden tahun
"ingat Saddam Hussein pak Anis, beliau difitnah barat atas kejahatan massal dinegeranya sendiri, tapi tak terbukti sampai dia udah jadi tulang. Berhadapan dengan orang yang punya kuasa itu bisa jadi risiko yang sangat besar. Bersyukurlah setidaknya tuntutan pidana pak Tom Lembong menjadi 4,5 tahun. Yang penting publik tau siapa yang benar dan tenang aja nama pak Tom ga akan tercoreng.",ingat saddam hussein pak anis beliau fitnah barat atas jahat massal dinegeranya bukti jadi tulang hadap orang punya kuasa jadi risiko besar syukur tuntut pidana pak tom lembong jadi tahun penting publik tahu benar tenang nama pak tom coreng
Innalilahi wa innailaihi rojiun. Turut berdukacita atas matinya keadilan di negeri ini untuk Tom. Semoga keluarga diberikan Ketabahan oleh TYE. Aamiin 🤲,innalilahi wa innailaihi rojiun turut dukacita atas mati adil negeri untuk tom moga keluarga beri tabah tye amin
Yang menzalimi pak Tom segera dapat azab yang berlimpah..sampai 7 keturunan,zalim pak tom azab berlimpahsampai turun
"Hukum didunia ini bisa kalian permainkan sesuka hati kalian dgn berbuat tdk adil & dzolim terhdp orang yg tdk bersalah tapi ingat hukum Allah tetap ada bwt kalian yg dzolim & itu pasti tdk dpt disogok ataupun dipermainkan, wait & see kuasa Allah itu nyata adanya & smua ada masanya.",hukum dunia main suka hati adil zalim terhdp orang salah ingat hukum allah tetap zalim sogok main tunggu see kuasa allah nyata masa
"Dua orang yang bersahabat karena disatukan oleh nilai, tujuan dan cita2 yg sama. Indonesia adil makmur sejahtera. Pak Anies & Pak Tom mengajarkan arti pertemanan sejati. Tuhan kuatkan Pak Tom.",dua orang sahabat satu nilai tuju cita indonesia adil makmur sejahtera pak anies pak tom ajar arti teman sejati tuhan kuat pak tom
"Kedzoliman dipertontonkan, para penegak hukum sdh tak punya nurani, tak punya hati, dan tak takut akan adzab Allah yg sangat pedih, Yaa Allah, capek hati liat kondisi negri ini, yg jelas jelas maling berdiri menari di depan para penguasa negri ini, aaahhh lelaaahhh😥",kedzoliman tonton tegak hukum punya nurani punya hati takut azab allah pedih ya allah cape hati lihat kondisi negeri jelas jelas maling tari kuasa negeri aaahhh lelaaahhh
Beginilah nasib negeri ini kalau dikuasai IQ 58.,nasib negeri asai intelligence quotient
"Percayalah Allah tidak tidur...
semua ada dalam penglihatanNya.

Bahwa yg berbuat dzolim pada Pak Tom akan mendapatkan balasan berlipat dari Sang Maha Adil.

Betul sepertinya ujian untuk Pak Tom blm selesai, semoga Pak Tom selalu sehat dan kuat dalam memperjuangkan haknya mendapatkan keadilan.",percaya allah tidur lihat zalim pak tom balas lipat sang maha adil betul uji untuk pak tom selesai moga pak tom sehat kuat juang hak adil
"Hukum di indonesia benar-benar gelap...💔😭
Semoga pa Tom selalu sabar dan tawakal...rezim sebelumnya benar² dholim...🥹🥹",hukum indonesia benarbenar gelap moga pak tom sabar tawakalrezim benar zalim
"4,5 tahun, cukup 1 periode. Selama itu Pak Tom dan Abah tidak bisa membahas politik bersama, tidak bisa kolaborasi, tidak bisa ngopi bareng sampai pemilihan periode kedua 😁
Semoga Pak Tom Allah beri kesabaran yg tiada batas.",tahun cukup periode pak tom ayah bahas politik kolaborasi minum kopi bareng pilih periode dua moga pak tom allah beri sabar tiada batas
Innalilahiwainailaihirojiun. Hukum di Indonesia sudah rusak. Yg benar di penjara yg salah malah tertawa bebas.  Sungguh sangat melukai nurani putusan ini.,innalilahiwainailaihirojiun hukum indonesia rusak benar penjara salah tertawa bebas sungguh luka nurani putus
"Yg memerintahkan atasannya tp knp atasannya tidak di panggil di pengadilan, ngeri dan menyedihkan penegakan hukum di negeri ini",perintah atas atas panggil adil ngeri sedih tega hukum negeri
"IN SYAH ALLAH, PAK TOM KEBENARAN AKAN TERUS TERUNGKAP LEWAT CARA ALLAH SWT.
YANG NANTINYA BERPROSES TANPA KITA DUGA.
Aamiin ya rabbal Aamiin",masuk syah allah pak tom benar terus ungkap lewat cara allah subhanahu wa taala proses duga amin iya rabi amin
Sejarah akan mencatat orang yang bersih di penjara sementara yang jelas korupsi di beri jabatan dan gemilang harta rezim Jokowi prabowo,sejarah catat orang bersih penjara jelas korupsi beri jabat gemilang harta rezim jokowi prabowo
"Kedzaliman akan mendapatkan balasan yg setimpal, waktu yang akan menjawab nya, Inshaa Allaah",kedzaliman balas timpal waktu jawab insya allah
"Untuk para pejabat tinggi,, yg menutup mata, menutup telinga dan yg menutup hatinya, tidaklah kalian takut dengan ancaman Allah... Ingat setelah kehidupan di bumi akan ada kehidupan di akhirat yg kekal, dan balasan dari ketidak pedulian kalian tentang kebenaran maka akan Allah akan balas kelak di akhirat dengan siksa yg sangat pedih... Naudzubillah...",untuk jabat tinggi tutup mata tutup telinga tutup hati takut ancam allah ingat hidup bumi hidup akhirat kekal balas peduli benar allah balas kelak akhirat siksa pedih naudzubillah
Semoga Allah subhana wataalaa...menunjukan dan menampakan KEADILAN NYA.,moga allah subhana wataalaamenunjukan tampak adil
Negara hukum buat yg bnyak duit pengaruh kuasa Jokowi dan geng solo sangat kuat . bekingan preman .. cuma tinggal tunggu Tuhan menentukan jalan Nya..miris negara ini akan kena murka klo begini terus,negara hukum uang pengaruh kuasa jokowi geng solo kuat beking preman tinggal tunggu tuhan jalan nyamiris negara kena murka terus
"Lailahaillah Allahuakbar 😭😭😭😭😭 Allah Maha Tahu segala- galanya Semoga yg mensolimi baik yg memerintahkan, memutuskan segera dilaknat oleh Allah SWT hingga 7 turunan.",lailahaillah allahu akbar allah maha tahu gala moga mensolimi baik perintah putus laknat allah subhanahu wa taala turun
Sebegitu rusak nya sudah hukum di negeri kita tercinta ini semoga selalu sehat pak tom,rusak hukum negeri cinta moga sehat pak tom
Memang sudah mati keadilan di negeri ini,mati adil negeri
"Doa tarbaik kami untuk pak tom, dan siapapun itu yang menzalimi pak tom, karma itu ada tuhan tidak tidur",doa tarbaik untuk pak tom zalim pak tom karma tuhan tidur
"JAKSA HAKIM 

SEMOGA DAPAT BALASAN YANG SETIMPAL DI DUNIA DAN AKHIRAT",jaksa hakim moga balas timpal dunia akhirat
"ALLOH TA'ALA akan memperlihatkan bahwa KEBENARAN itu hanya 1 milik ALLOH TA'ALA tidak 2 dan 3.

Doa Kami untuk Anak Bangsa Indonesia yang masih mempunyai RASA BERTUHAN dan KEMANUSIAAN ....

Tetap semangat dan terus berjuang untuk mendapatkan KEADILAN HAQIQI ....

Bissiril Fatihah .....

Aamiin ALLAHUMMA Aamiin Yaa Mujiibbassa'iliin .... 🤲🙏🤲",allah taala lihat benar milik allah taala doa untuk anak bangsa indonesia punya rasa tuhan manusia tetap semangat terus juang untuk adil hakiki bissiril fatihah amin allahumma amin ya mujiibbassailiin
"Allah TDK pernah tidur...
In sya Allah akan ada balasan bagi org yg menyalah gunakan kekuasaannya",allah tidur masuk allah balas orang salah guna kuasa
"Jangan sedih pak, mungkin Tuhan punya maksud lain. Selalu ada hikmah dibalik setiap cerita kehidupan. Mungkin sekarang kita tak melihatnya, tapi nanti kita sadar, oh, ternyata ini maksud Tuhan. 

Sejarah sudah membuktikan, banyak orang2 hebat dijerumuskan dalam penjara, tapi kehebatan mereka nakin bersinar. Tetap semangat buat Pak Tom. Semoga panjang umur untuk melihat akhir cerita orang2 yang zolim padamu.",sedih pak tuhan punya maksud hikmah balik cerita hidup lihat sadar oh nyata maksud tuhan sejarah bukti orang hebat jerumus penjara hebat nakin sinar tetap semangat pak tom moga panjang umur untuk lihat akhir cerita orang zolim
