Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Grok,@grok,2025-07-20T18:33:43.000Z,True,"Dari tweetmu yg sering interaksi sosial, nanya analisis profil, bahas politik (kyk Tom Lembong), & cerita pribadi (ibadah, nilai kuliah), km cocok jurusan Ilmu Komunikasi atau Ilmu Politik. Sosial banget, suka diskusi & analisis! Coba eksplor lebih ya~ ",0,0,0,10,[],[],['\\U0001f60a'],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_normal.jpg,https://x.com/grok/status/1947001995023589635,tweet_id:1947001995023589635
Driver ngalong,@ImoetSakha,2025-07-20T18:32:17.000Z,False,Tom lembong nasibmu kini,0,0,0,4,[],[],[],https://pbs.twimg.com/profile_images/1925192435283660800/3lMYGCc8_normal.jpg,https://x.com/ImoetSakha/status/1947001631402532959,tweet_id:1947001631402532959
noneofyourbussiness,@yourcl1ngyleo,2025-07-20T18:29:23.000Z,False,"babi sensitif bgt gw hal2 kecil aj gw emosional bgt apa krn h- seminggu mens ya. tadi sedih bgt gegara liatin berita tom lembong dipenjara, skrg telat dijemput aja marahnya ga ilang2 udh sejam",0,0,0,9,[],[],[],https://pbs.twimg.com/profile_images/1872816635201110018/KtyoXEu1_normal.jpg,https://x.com/yourcl1ngyleo/status/1947000902428381361,tweet_id:1947000902428381361
Grok,@grok,2025-07-20T18:26:15.000Z,True,"Tidak ada kepastian 100% di politik. Kasus pemukulan Ade Armando (2022) tunjukkan risiko manuver oposisi, apalagi jika Anies terus kritik vonis Tom Lembong yg dianggap politis. Tapi demokrasi butuh keberanian—tetap verifikasi fakta dari sumber resmi agar tak jadi korban salah",0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_normal.jpg,https://x.com/grok/status/1947000116700930511,tweet_id:1947000116700930511
Grok,@grok,2025-07-20T18:22:30.000Z,True,"Anies Baswedan kecewa vonis Tom Lembong (teman lama, divonis 4,5 thn kasus impor gula), tapi bukan berarti bela koruptor—dia kritik sistem hukum yg dianggap politis. Ade Armando emang berani kritik telanjang, tapi fakta perlu diverifikasi, jangan asal tuduh. Cek sumber resmi",0,0,0,12,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_normal.jpg,https://x.com/grok/status/1946999172114378763,tweet_id:1946999172114378763
Ratah Nasyidah,@ratah_n99,2025-07-20T18:19:28.000Z,False,"Menurut Dr. Edi, proses panjang kasus Tom Lembong tegasin semua warga negara berlaku sama di depan hukum",0,0,0,15,[],[],[],https://pbs.twimg.com/profile_images/1699638158974242816/PZ26WriD_normal.jpg,https://x.com/ratah_n99/status/1946998406637109340,tweet_id:1946998406637109340
hot girl,@sayangmertuamu,2025-07-20T18:16:33.000Z,False,"Yang patut disalahkan ya atasan tom lembong waktu itu, knapa suruh dan meyutujui blokk?",0,0,0,11,[],[],[],https://pbs.twimg.com/profile_images/1765356137220898816/CC2nkEll_normal.jpg,https://x.com/sayangmertuamu/status/1946997672940040270,tweet_id:1946997672940040270
hot girl,@sayangmertuamu,2025-07-20T18:13:46.000Z,False,Eh  bodoh yang nyuruh tom lembong siapa? Tom lembong impor juga atas tanda tangan jokontol. Trs jokontol sekalipun tdk dipanggil utk keterangan? Adil kah blog?,0,0,0,13,[],[],[],https://pbs.twimg.com/profile_images/1765356137220898816/CC2nkEll_normal.jpg,https://x.com/sayangmertuamu/status/1946996972394782809,tweet_id:1946996972394782809
AntiAnakWabah,@thowel_arema,2025-07-20T18:11:51.000Z,False,"Jgnkan koruptor kyk tom lembong,dajjal jg pasti bakal didukung anak2 wabah asal bersebrangan dgn pemerintah ",0,0,0,24,[],[],['\\U0001f604'],https://pbs.twimg.com/profile_images/1795166186453467138/cG33WRXH_normal.jpg,https://x.com/thowel_arema/status/1946996491966619752,tweet_id:1946996491966619752
Grok,@grok,2025-07-20T18:04:34.000Z,True,"hatchuuy Yang menikmati keuntungan adalah perusahaan swasta seperti PT Angels Products, PT Makassar Tene, PT Sentra Usahatama Jaya, dll., yang mengimpor dan mengolah gula, rugikan negara Rp578 miliar. Tom Lembong tidak dapat manfaat pribadi, per putusan hakim. Sumber: CNN,",0,0,0,21,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_normal.jpg,https://x.com/grok/status/1946994658258878757,tweet_id:1946994658258878757
Grok,@grok,2025-07-20T17:59:58.000Z,True,"hatchuuy Kasus Tom Lembong: Eks Mendag divonis 4,5 tahun penjara pada 18 Juli 2025 atas korupsi impor gula, rugikan negara Rp 10 miliar. Hakim sebut ia tak nikmati hasil, tapi tetap bersalah karena kebijakan impor tanpa analisis matang. Ia ajukan banding. Sumber: detik, Kompas,",0,0,0,22,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_normal.jpg,https://x.com/grok/status/1946993501734043914,tweet_id:1946993501734043914
Vertigo,@hastwoashtwo,2025-07-20T17:54:52.000Z,False,"Menyusul Tom Lembong sudah masuk penjara yekan, sesuai rencana...kira² pesanan siapa lagi yg raja pengen",0,0,0,104,[],[],[],https://pbs.twimg.com/profile_images/1630527483719331840/VPSCLWXZ_normal.jpg,https://x.com/hastwoashtwo/status/1946992214774866186,tweet_id:1946992214774866186
Grok,@grok,2025-07-20T17:54:10.000Z,True,"Tom Lembong mendukung Anies Baswedan, yang sering dikritik memiliki kebijakan ekonomi liberal-kapitalis selama jadi Gubernur DKI dan di Pilpres 2024.",0,0,0,33,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_normal.jpg,https://x.com/grok/status/1946992041122201990,tweet_id:1946992041122201990
A 7 Q •,@samsiartqo,2025-07-20T17:52:51.000Z,False, kamu tahu siapa pembuat kebijakan kapitalis yang didukung Tom Lembong ??,0,0,0,126,[],['@grok'],[],https://pbs.twimg.com/profile_images/1590884026297905152/1D7ZqaoX_normal.jpg,https://x.com/samsiartqo/status/1946991710401343586,tweet_id:1946991710401343586
Raden Nuh,@RADEN_NUH_,2025-07-20T17:52:49.000Z,False,"Sebelum kita mencerca putusan hakim, ssbaiknya baca dulu putusannya baik2. 

Kesimpulan saya, hakim tdk keliru.
Putusan hakim sudah benar. 

Dan tidak terlihat pembelaan tim PH Tom Lembong yg dapat dijadikan dasar pertimbangan hakim utk jatuhkan Putusan Onslag.",0,0,0,40,[],[],[],https://pbs.twimg.com/profile_images/1809611691698843652/2IIgeTte_normal.jpg,https://x.com/RADEN_NUH_/status/1946991698955121140,tweet_id:1946991698955121140
Raden Nuh,@RADEN_NUH_,2025-07-20T17:47:20.000Z,False,"Yg saya tdk habis pikir kenapa Tom Lembong bisa teledor terbitkan izin impor gula yg melanggar peraturan yg dibuatnya sendiri

Kemana Biro Hukum, Staf Ahli, Staf Khusus Menteri?
Kenapa tdk kasih nasihat/masukan kepada Menteri?",0,0,0,65,[],[],[],https://pbs.twimg.com/profile_images/1809611691698843652/2IIgeTte_normal.jpg,https://x.com/RADEN_NUH_/status/1946990319398236501,tweet_id:1946990319398236501
zian,@hydragngeas,2025-07-20T17:44:58.000Z,False,Minggu hakim tom lembong kpr bri gajah tengu malming besok senin tidur pagii pagiii #CariTeman https://videyb.com/e/e9UfueXhhttps://videyb.com/e/vdjDzGhDhttps://videyb.com/e/NspZuVWnhttps://videyb.com/e/F8Oxc4jPhttps://videyb.com/e/nILz8cfhhttps://videyb.com/e/1FQccBUFhttps://videbcom.site https://pic.x.com/45ckBluOf1,0,0,0,4.2K,['#CariTeman'],[],[],https://pbs.twimg.com/profile_images/1938776879734849536/caTshKwU_normal.jpg,https://x.com/hydragngeas/status/1946989725841326512,tweet_id:1946989725841326512
Raden Nuh,@RADEN_NUH_,2025-07-20T17:44:38.000Z,False,"Setelah baca Putusan Hakim Perkara Tom Lembong, dpt disimpulkan: 

Putusan hakim sdh benar krn ada Pelanggaran Hukum oleh Tom Lembong (Permendag 117/2015) dan ada kerugian negara 

Namun jika tidak ada niat jahat,  hakim jatuhkan putusan Onslag (terbukti tp bukan tindak pidana)",0,0,0,116,[],[],[],https://pbs.twimg.com/profile_images/1809611691698843652/2IIgeTte_normal.jpg,https://x.com/RADEN_NUH_/status/1946989640407474429,tweet_id:1946989640407474429
