text,predicted_label
blm resmi jadi mantan ngasih trauma sangat besar pernah prinsip gamau punya pasang gamau nikah umur hidup mau nge jomblo being a single mom janda kembang wqwq,trauma masa lalu
papah tingal gamau nikah,tekanan sosial
bapak suruh nikah gamau terus,tekanan sosial
atas cepet nikah gih stres nafkahin gamau nikah pak mau dinafkahin atas,tekanan sosial
gamau ajar mau nikah gigi,tekanan sosial
gamau nikah ah takut bahagia takut punya pasang cuma nambah beban doang salah pilih pasang bunuh diri,tekanan sosial
yaudahlah emg ril karma kasih tau gamau ajak nikah bodoh ngejar yu sadar yu,tekanan sosial
blm resmi jadi mantan ngasih trauma sangat besar pernah prinsip gamau punya pasang gamau nikah umur hidup mau nge jomblo being a single mom janda kembang wqwq,trauma masa lalu
papah tingal gamau nikah,tekanan sosial
bilang besok kalo kamu nikah gamau bantuin yauda siapa mau ngundang orang banyak in this economy nikah jadi chil bray,tekanan sosial
iyap indo imbang orang pinternya berapa jangan takut ato ngamuk kalo bilang mau childfre remaja naif hamidun terus society despise orang gamau nikah ngangep hamidun tahtanya lebih mulia ketimbang childfre,tekanan sosial
gamau masuk langsung nikah,tekanan sosial
gimana kalo morven ni tipe gamau henti kerja nikah,tekanan sosial
yah orang emang rencana nikah pake duit ortunya gamau kordinasi buka soal bayar harga printilan nikah ambil kek kmu istilah bin bapak kamu gamau bapak tau kalo nyata harga barang mahal,tekanan sosial
gamau nikah muda mau main keluyur,tekanan sosial
gamau nikah,tekanan sosial
ih gamau nikah,tekanan sosial
sedih aku keliling rekan kerja umur sepantarangak jauh beda aku meni anak lalu kaget tanya aku gamau nikah aku gamau punya anak aku pandang aneh kalo bilang hidup rumah tanga rekan kerja,tidak percaya pasangan
gamau nyari cocok gtu nder ngobrol biasa misal kalo umur sekarang wajar siap nikah pilih calon turut butuh waktu lama kenal lebih dalem bibit bebet bobot,tekanan sosial
cewek kerja dijulidin nikah bilang perawan tua nikah kerja bilang beban kalo nikah tetap kerja bilang gamau ngurus anak,tekanan sosial
svt tour gyucheol unit coming up yay another reasons to say gamau nikah dulu soal banyak mau kejar,tekanan sosial
arti mau nikah cewek gamau bye sender blon,tekanan sosial
gamau nikah,tekanan sosial
tradisi tai istg kalau adik aku gamau nikah karna gamau ngelangkahin aku rumah aku acak,tekanan sosial
garagara lihat tmn aku mnkh aku jadi pgn pakai baju nikah bayangin jadi cantik mau pakai baju doang gamau nikah hehe,tekanan sosial
kalau jelang gamau nikah gembar gembor kep private drpd lamar gadinikahin kiw malu,tidak percaya pasangan
gamau nikah kalo pasang sore wiling to spend hundreds years only for us,tekanan sosial
betul jangan males ribet buru gamau sabar jadi petaka nikah bukan soal pasang kalau punya anak nyawa jadi tangungjawab tuhan,tekanan sosial
temen ken cepet nikah males kerja emang angur gamau cari kerja mau cepet dinikahin pacar hidup baik gantung lingkung keluarga pasang,tekanan sosial
bagus gamau emak bahagia nikah bapak,tekanan sosial
umur genap usah bahas nikah segala kamu tahun kak terus kenape kalo mau cari cewe muda gapapa kudu putus dulu soal gamau selingkuh kak im trying to ngajak kamu nikah diem dulu,tidak percaya pasangan
ibu janda tahun suruh nikah gamau,tekanan sosial
elu aje sangean kocak bokap cere taun kagak nikah krna gamau divorced since,tekanan sosial
fix gamau nikah ogah make,tekanan sosial
