text,predicted_label
blm resmi jd mantan tapi udah ngasih trauma teramat sangat besar sampe pernah berprinsip gamau punya pasangan lg gamau nikah lagi seumur hidup mau nge jomblo aja being a single mom dan janda kembang wqwq,trauma masa lalu
papahku ditinggal meninggal gamau nikah lagi,tekanan sosial
kecuali bapakku dia kok disuruh nikah lagi gamau trs ya,tekanan sosial
atasan gw dah cepet nikah gih biar ga stress ada yang nafkahin gw gamau nikah pak mau dinafkahin aja atasan gw,tekanan sosial
gamau blajar maunya nikah aja ya gigi,tekanan sosial
gamau nikah ah takut ga bahagia takut pny pasangan cuma nambah beban doang salah pilih pasangan bunuh diri,tidak percaya pasangan
yaudahlah ya emg rill karma gua udh dikasih tau pun ttp gamau diajak nikah dan bodohnya masih ngejar yu sadar yu,tekanan sosial
blm resmi jd mantan tapi udah ngasih trauma teramat sangat besar sampe pernah berprinsip gamau punya pasangan lg gamau nikah lagi seumur hidup mau nge jomblo aja being a single mom dan janda kembang wqwq,trauma masa lalu
papahku ditinggal meninggal gamau nikah lagi,tekanan sosial
papa bilang besok kalo kamu nikah mereka gamau bantuin yaudaa siapa juga yang mau ngundang orang banyak in this economy gue juga belum tentu bakal nikah jadi chill aja lah bray,tekanan sosial
iyap indo seimbang kok orang pinternya juga ga seberapa jangan takut ato ngamuk kalo ada yang bilang mau childfree masih ada remaja naif yang hamidun terus society yang despise orang yang gamau nikah dan nganggep hamidun tahtanya lebih mulia ketimbang childfree,tidak percaya pasangan
gamau masuk langsung nikah aja bisa gak,tekanan sosial
tapi gimana kalo morven ni tipe tipe yang gamau berhenti kerja setelah nikah,tekanan sosial
kenapa yah orang yg emang rencana nikah tapi pake duit ortunya itu gamau koordinasi atau terbuka soal pembayaran atau harga printilan nikahan yg akan dia ambil kek kan kmu nih istilahnya dibeliin bapakmu tapi kamu gamau bapakmu tau kalo ternyata harga barangnya mahal,trauma masa lalu
gamau nikah muda jir masih mau main keluyuran,tekanan sosial
gue gamau nikah,tekanan sosial
ih gamau nikah,tekanan sosial
sedihnya aku dikelilingi rekan kerja yang umurnya sepantarangak jauh beda dari aku sudah menikah dan beranak lalu kaget dan mempertanyakan kenapa aku gamau nikah kenapa aku gamau punya anak aku kayak dipandang aneh kalo boleh bilang kehidupan rumah tangga rekan kerjaku,tidak percaya pasangan
gamau sambil nyari yang cocok gtu kah nder kayak ngobrol biasa misal gituu kalo di umur sekarang ya wajar sih belum siap buat nikah tapi untuk pilih calon menurutku juga butuh waktu lama buat kenal lebih dalem bibit bebet bobotnya,tekanan sosial
cewek belum kerja dijulidin belum nikah dibilang perawan tua udah nikah tp gak kerja dibilang beban tapi kalo udah nikah tetap kerja dibilang gamau ngurus anak,tidak percaya pasangan
svt tour gyucheol unit coming up yay another reasons to say gamau nikah dulu soalnya masih banyak yg mau dikejar,tekanan sosial
artinya dia mau nikah sm cewek itu dan gamau sama lu bye sender bloon,tekanan sosial
dia gamau nikah sama gw kah,tekanan sosial
tradisi tai istg kalau adik adik aku ada yg gamau nikah karna gamau ngelangkahin aku rumah ini aku acak,tidak percaya pasangan
grgr lihat tmn ak mnkh ak juga jadi pgn pakai baju nikah jir bayangin jadi secantik itu mau pakai bajunya doang gamau nikahnya hehe,tekanan sosial
nanti kl menjelang gamau nikah gembar gembor keep private drpd udah lamaran gadinikahin kiw malu,tidak percaya pasangan
gamau nikah kalo pasangannya nanti gak kayak sore willing to spend hundreds years only for us,tidak percaya pasangan
betul jangan karena males ribet buru dan gamau sabar jadi petaka nikah bukan soal kita sama pasangan aja kalau sudah punya anak ada nyawa yg jadi tanggungjawab kita ke tuhan,tekanan sosial
temen gue ada yg pengen cepet nikah karena males kerja dia emang pengangguran dan gamau cari kerja maunya cepet dinikahin pacarnya dan hidupnya baik aja kayaknya bergantung lingkungan dan keluarga pasangan,takut gagal membangun keluarga
bagus lah tp gua gamau sih biar aja emak gua bahagia tanpa nikah sm bapak,tekanan sosial
lu umur aja belum genap gak usah bahas nikah nikahan segala tapi kamu udah tahun kak ya terus kenapeeeeeeee kalo mau cari cewe yg mudaan ya gapapa tapi kudu putus dulu soalnya gue gamau diselingkuhi kak im trying to ngajak kamu nikah anjir diem dulu,tekanan sosial
ibuku janda udh tahun kami suruh nikah dia gamau,trauma masa lalu
elu aje sangean kocak bokap gua cere udh bertaun bisa kagak nikah lagi krna gue gamau divorced since,tekanan sosial
fix gue gamau nikah ogah make banget,tekanan sosial
aku nonton cuplikan dia nikah aja nangis bistu gamau lagi,tekanan sosial
pdhl perempuan gamau nikah ya karena ogah bersanding sm kaum lu anjay patriarki,tekanan sosial
ngomong ke ayahmu kamu gpp ayahmu nikah lg tp biaya full ditanggung ayahmu kalo gamau kataku mending kamunya yang pergi dari rumah nder cari kos yang jauh dah,tekanan sosial
aku sempet tanya ayah kenapa gamau nikah lg ayahku jawab kalo ayah mikirnya kalo nikah lg beban ayah bertambah ayah udh cukup punya anak yang kek princess ini gamau nambah beban lg nah kemungkinan bokap mu pengen nambah beban lg nder persetan urusan kontol,tekanan sosial
alasan gue sekarang mau ngirit gamau banyak jajan dulu mau diet karena badan dan pipi udah kaya babi guling ngumpulin duit buat tour justin itu pun kalo tour dianya buat nikah,alasan ekonomi
pengen deh punya anak kyak soyi tp gw gamau nikah tp mau anak kyk soyi atau soyi nya aja dh jadi anak gw,tekanan sosial
ak sm kakakku beda taun lumayan jauh and dia cowo tp mamaku kyk berharap yg duluan nikah gwehh kyk wow ga siap ga mau biarin aja kakak gw nikah duluan anjirlah gamau ngelangkah gt gw anjay,tekanan sosial
ohh yaa jd keinget dulu ada tweet yg bilang kalo dia gamau nikah kalo ortu atau calon mertuanya blm lbh baik yaa kyk maksud tweetmu harusnya yg siap bkn calon pasutri aja masa calon pasutri aja yg belajar meningkatkan value u mjd pasutri ortu knp g mempersiapkan jd mertua,tekanan sosial
nahhh aku join yahh gamau nikah jg soalnya,tekanan sosial
sebenernya si klo di liat ya di restui cmn harry yg tipe pemikir bgt klo gamau nnti restunya terancam pdhl ya yaudah si lagian org nikah kan persetujuan ibu bapak kandung mayang mah gada,takut gagal membangun keluarga
sama woe makanya gua kalo kondangan gamau dinamain ah gila kali dicatetin gini kalo gua nikah duluan kalo gua meninggal duluan malah jadi ngutangin orang ngeri naro dosa ke orang wkwk,tekanan sosial
mewek dulu ga sehhh willhaya kesayanganku akhirnya nikah aku yang mewek banget aduh mixed feeling sekali bahagia tapi gamau babay jg aaaakkkkk kak sella gimana aku harus melewati seninku dengan mood seperti ini not ur bussiness tpi saking,tidak percaya pasangan
perempuan skrg kan gitu yg gamau nikah aja banyak apalagi sampai nikah dua kali trauma dia lebi nyaman juga sama dildo,trauma masa lalu
cape sims gue gamau nikah trs,tekanan sosial
kayak ayahku haha ibu meninggal belum ada setengah tahun aku sama kakakku kompak buat ngelarang berujung ayah gamau terbuka sama kami jadii yaudahlah terserah akhirnya ya nikah dan hidup seperti semula,tekanan sosial
setuju sih budeku janda dri tahun lalu katanya banyak yg mau jodohin budeku sm orangbukan dri pihak keluarga tapi budeku ttep gamau nikah lagi apalagi diancem sm anak mantunya klo nikah lg gak mau deket krna takutnya budeku yg apa bsa sendiri dinikahin buat ngurusin lakinya,tekanan sosial
loh aku kira akhirakhir ini banyak yang takut nikah milih childfree karena pendidikan anak mahalapa cuman di bubble twitter doang yaa jadi inget masa pilpres wkwk,tekanan sosial
guys kalo ke dokter jgn takut buat tanya ya misal hubungannya nikah sama nyeri perut ketika haid apa ya dok jangan cuma diem nunggu dokternya jelasin aku kalo mau ke dokter gitu nyiapin list pertanyaan ttg penyakit terkait buat ditanyakan bayar mahal sekalian menimba ilmu,tekanan sosial
