Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
,@naruhach,2025-07-13T17:48:35.000Z,False,"Blm resmi jd mantan, tapi udah ngasih trauma teramat sangat besar, sampe pernah berprinsip gamau punya pasangan lg, gamau nikah lagi, seumur hidup, mau nge jomblo aja, being a single mom dan janda kembang wqwq",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1928044020326125568/q_bz1UJN_normal.jpg,https://x.com/naruhach/status/1944453921369645182,tweet_id:1944453921369645182
sukma sayang jeno juyeon,@maadevvi,2025-07-13T17:36:18.000Z,False,papahku ditinggal meninggal gamau nikah lagi,0,0,0,4,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1928883150689808386/b9U0it2j_normal.jpg,https://x.com/maadevvi/status/1944450827969790221,tweet_id:1944450827969790221
sukma sayang jeno juyeon,@maadevvi,2025-07-13T17:35:07.000Z,False,"kecuali bapakku, dia kok disuruh nikah lagi gamau trs ya",0,0,0,5,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1928883150689808386/b9U0it2j_normal.jpg,https://x.com/maadevvi/status/1944450532472484304,tweet_id:1944450532472484304
kucing hitam,@bluecatfav,2025-07-13T17:25:07.000Z,False,"Atasan gw: ""dah cepet nikah gih, biar ga stress ada yang nafkahin""
Gw: ""gamau nikah pak, mau dinafkahin aja
Atasan gw:",0,0,0,23,[],[],['\\U0001f926\\U0001f3fb\\u200d\\u2642\\ufe0f'],https://pbs.twimg.com/profile_images/1510252622565212166/VboBmQi7_normal.jpg,https://x.com/bluecatfav/status/1944448015479308751,tweet_id:1944448015479308751
ruby,@rainwallower,2025-07-13T17:12:51.000Z,False,gamau blajar maunya nikah aja ya gigi,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1943204657641160705/qy6Ncoep_normal.jpg,https://x.com/rainwallower/status/1944444929108763048,tweet_id:1944444929108763048
dee,@_tequilaaa_,2025-07-13T17:08:29.000Z,False,"gamau nikah ah takut ga bahagia, takut pny pasangan cuma nambah beban doang. salah pilih pasangan = bunuh diri.",0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1938982044023083008/s07wW8G7_normal.jpg,https://x.com/_tequilaaa_/status/1944443827517042812,tweet_id:1944443827517042812
Suray,@sryrsk4,2025-07-13T17:05:39.000Z,False,"yaudahlah ya, emg rill karma gua, udh dikasih tau pun ttp gamau diajak nikah, dan bodohnya masih ngejar, yu sadar yu",0,0,0,6,[],[],['\\U0001f921'],https://pbs.twimg.com/profile_images/1623708566317326336/xT2udFJ1_normal.jpg,https://x.com/sryrsk4/status/1944443117400445171,tweet_id:1944443117400445171
,@naruhach,2025-07-13T17:48:35.000Z,False,"Blm resmi jd mantan, tapi udah ngasih trauma teramat sangat besar, sampe pernah berprinsip gamau punya pasangan lg, gamau nikah lagi, seumur hidup, mau nge jomblo aja, being a single mom dan janda kembang wqwq",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1928044020326125568/q_bz1UJN_normal.jpg,https://x.com/naruhach/status/1944453921369645182,tweet_id:1944453921369645182
sukma sayang jeno juyeon,@maadevvi,2025-07-13T17:36:18.000Z,False,papahku ditinggal meninggal gamau nikah lagi,0,0,0,4,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1928883150689808386/b9U0it2j_normal.jpg,https://x.com/maadevvi/status/1944450827969790221,tweet_id:1944450827969790221
aster,@clouverz,2025-07-13T16:28:55.000Z,False,"papa bilang ""besok kalo kamu nikah mereka gamau bantuin"" yaudaa??? siapa juga yang mau ngundang orang banyak in this economy  gue juga belum tentu bakal nikah jadi chill aja lah bray",0,0,0,16,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1911221825180147712/aHJwZ8ot_normal.jpg,https://x.com/clouverz/status/1944433872143564816,tweet_id:1944433872143564816
