Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
lip,@allaboutchiz,2025-07-12T16:57:33.000Z,True,Loh aku kira akhir-akhir ini banyak yang takut nikah + milih childfree karena pendidikan anak mahalApa cuman di bubble Twitter doang yaa? Jadi inget masa pilpres wkwk,0,0,0,390,[],[],[],https://pbs.twimg.com/profile_images/1912916814298021888/1X2711AL_normal.jpg,https://x.com/allaboutchiz/status/1944078689127608801,tweet_id:1944078689127608801
,@ddreamypancake,2025-07-11T12:53:37.000Z,True,guys kalo ke dokter jgn takut buat tanya ya. misal “hubungannya nikah sama nyeri perut ketika haid apa ya dok?” jangan cuma diem nunggu dokternya jelasin. Aku kalo mau ke dokter gitu. Nyiapin list pertanyaan ttg penyakit terkait buat ditanyakan. Bayar mahal sekalian menimba ilmu.,0,0,0,36,[],[],[],https://pbs.twimg.com/profile_images/1642052840465252352/_SDUaldv_normal.jpg,https://x.com/ddreamypancake/status/1943654914720428405,tweet_id:1943654914720428405
yg paling disayang vicky bulki,@quiinax,2025-07-08T20:53:00.000Z,False,"halo kak beneran ini boleh cerita ke kakak?jujur pengen banget ke psikolog tp takut mahal banget diluar budget dan masih nyari2 rekomendasi psikolog, setelah nikah aku ngerasa kaya diriku tuh bukan aku, sering banget mendem dan nangis, ngerasa marah,sedih,kecewa tp aku gabisa",0,0,0,87,[],[],[],https://pbs.twimg.com/profile_images/1788472959235211265/P9LCczqO_normal.jpg,https://x.com/quiinax/status/1942688392095121482,tweet_id:1942688392095121482
rozalin,@diaviern,2025-07-05T08:34:30.000Z,False,"NAHHHH aku jg mikir gini. takut ntar kalo nikah, emang beneran pelit  kita ga pernah nuntut bukan berarti dia jadi ga effort gt looo. beliin sesuatu kan ga harus mahal, 10rb pun udah kami pamer2in ke seluruh dunia kok",0,0,0,371,[],[],"['\\U0001f62d', '\\U0001f64f\\U0001f3fb']",https://pbs.twimg.com/profile_images/1778097273295237120/Ua9ztiu0_normal.jpg,https://x.com/diaviern/status/1941415378762269035,tweet_id:1941415378762269035
Gerakan PIS,@GerakanPis,2025-06-30T11:53:48.000Z,True,"Banyak pasangan muda sekarang pilih kumpul kebo ketimbang nikah. Bukan semata soal moral, tapi karena biaya nikah mahal, takut gagal kayak orangtuanya, sampai trauma sama sistem yang dirasa nggak adil. Ini bukan sekadar gaya hidup—ini cermin soal relasi dan kepercayaan.",0,0,0,170,[],[],[],https://pbs.twimg.com/profile_images/1488753509734379521/r8qn2zlZ_normal.jpg,https://x.com/GerakanPis/status/1939653593038217561,tweet_id:1939653593038217561
moll,@yourlocalriot,2025-06-24T13:18:51.000Z,False,"Jiwa maskulinku suka ovt takut jd beban dan gabisa bantu apa apa soal keuangan, krn nikah aja dh mahal bgt, di rmh tangga nanti jg bakal lbh banyak pengeluarannya",0,0,0,3.7K,[],[],['\\U0001f614'],https://pbs.twimg.com/profile_images/1942866257306320896/ugGNFvk2_normal.jpg,https://x.com/yourlocalriot/status/1937500671810634139,tweet_id:1937500671810634139
moll,@yourlocalriot,2025-06-24T12:53:07.000Z,False,"Ovt takut beban aja gtu kalau gabisa bantu banyak, apalagi nikah tu mahal",0,0,0,2.2K,[],[],[],https://pbs.twimg.com/profile_images/1942866257306320896/ugGNFvk2_normal.jpg,https://x.com/yourlocalriot/status/1937494193863319694,tweet_id:1937494193863319694
Om Paujin,@Jarakdekat,2025-06-23T23:24:30.000Z,False,"Gw semangatin orang tua atau anak muda yang nikah tapi takut punya anak, karena ada yang posting kebutuhan bayi mahal, gw sebagai praktiksi, gw kasih pengalaman w, eh malah dibandingin sama orang2 borju. Terus aja kek gtu, nih kesenjangan akal dan ekonomi ga pernah selesai.",0,0,0,27,[],[],[],https://pbs.twimg.com/profile_images/1942419301228765185/QtThXgUm_normal.jpg,https://x.com/Jarakdekat/status/1937290700724535556,tweet_id:1937290700724535556
Ris,@puddingsutra,2025-06-23T08:28:28.000Z,False,Takut nikah krn haraga vendor mahal ,0,0,0,31,[],[],['\\U0001f605'],https://pbs.twimg.com/profile_images/1920519243029725184/MnogYsJz_normal.jpg,https://x.com/puddingsutra/status/1937065206938812449,tweet_id:1937065206938812449
Kiuza,@zwkiii,2025-06-12T14:45:22.000Z,False,"Aku jadi ingat pernah dimarahin temanku karna ngomong, “aku takut kehidupan setelah nikah dengan kondisiku yg sekarang”. Soalnya belajar dari pengalaman sendiri kebutuhan anak itu banyak, nuntut ilmu mahal. Takut punya keluarga ga bahagia habis nikah karna masalah finansial.",0,0,0,97,[],[],[],https://pbs.twimg.com/profile_images/1911503025551663104/B4vb6PTV_normal.jpg,https://x.com/zwkiii/status/1933173787476070876,tweet_id:1933173787476070876
