Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
resonance,@phosphenol,2025-07-13T17:28:15.000Z,False,"agak emosi
karena gue sendiri juga cowo yg milih bangun rumah duluan sebelum nikah. sebenarnya gue gak takut kalau tuh rumah jadi gonogini, meskipun gue bangun setelah menikah juga tetep 100% milik gue.

tapi ya anjig kalau dicap perhitungan, dikiranya nyari duit gampang apa",0,0,0,105,[],[],[],https://pbs.twimg.com/profile_images/1820534814258384898/Io4mDwQJ_normal.jpg,https://x.com/phosphenol/status/1944448803928736092,tweet_id:1944448803928736092
El Wijangga (future!au 2033),@histoir_El,2025-07-13T17:17:14.000Z,False,"Ada. Gue yang sebelum nikah, pengen hidup santai aja. Seadanya rejeki gue hari ini ya gue ngerasa cukup. Setelah ada istri dan anak, gue takut banget gak bisa penuhi kebutuhan mereka. Dan gue selesai jadi biawak ketika gue memulai kehidupan gue sama istri.",0,0,0,13,[],[],[],https://pbs.twimg.com/profile_images/1942395158185570304/CLljW69H_normal.jpg,https://x.com/histoir_El/status/1944446031988670605,tweet_id:1944446031988670605
༘ cila ✿ 𓍯,@cilomilowilow,2025-07-13T17:12:27.000Z,False,"ih aku jg mau beli, tp tiap di supermarket takut dikira mau nikah",0,0,0,7,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1928609435372630016/cWI-A8Gj_normal.jpg,https://x.com/cilomilowilow/status/1944444826424111563,tweet_id:1944444826424111563
dee,@_tequilaaa_,2025-07-13T17:08:29.000Z,False,"gamau nikah ah takut ga bahagia, takut pny pasangan cuma nambah beban doang. salah pilih pasangan = bunuh diri.",0,0,0,15,[],[],[],https://pbs.twimg.com/profile_images/1938982044023083008/s07wW8G7_normal.jpg,https://x.com/_tequilaaa_/status/1944443827517042812,tweet_id:1944443827517042812
This is for 𝙼𝚎𝚒𝚍𝚢,@ahduoxian,2025-07-13T16:28:36.000Z,False,"Iyap indo seimbang kok, orang pinternya juga ga seberapa. Jangan takut ato ngamuk kalo ada yang bilang mau child-free. Masih ada remaja naif yang hamidun, terus society yang despise orang2 yang gamau nikah, dan nganggep hamidun tahtanya lebih mulia ketimbang childfree",0,0,0,75,[],[],[],https://pbs.twimg.com/profile_images/1944416937674444800/EUhSstfx_normal.jpg,https://x.com/ahduoxian/status/1944433790216229261,tweet_id:1944433790216229261
resonance,@phosphenol,2025-07-13T17:28:15.000Z,False,"agak emosi
karena gue sendiri juga cowo yg milih bangun rumah duluan sebelum nikah. sebenarnya gue gak takut kalau tuh rumah jadi gonogini, meskipun gue bangun setelah menikah juga tetep 100% milik gue.

tapi ya anjig kalau dicap perhitungan, dikiranya nyari duit gampang apa",0,0,0,105,[],[],[],https://pbs.twimg.com/profile_images/1820534814258384898/Io4mDwQJ_normal.jpg,https://x.com/phosphenol/status/1944448803928736092,tweet_id:1944448803928736092
fii,@cagvey,2025-07-13T16:08:00.000Z,False,"gue takut ditinggal nikah tmn gue, ntar gue main sama siapa ",0,0,0,6,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1650886122229370880/gOcCqKf7_normal.png,https://x.com/cagvey/status/1944428608342409634,tweet_id:1944428608342409634
biaaa,@404slink,2025-07-13T15:52:51.000Z,False,"pengen nonton sore tpi takut pengen cepet"" nikah",0,0,0,9,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1926117991164342272/q1fSe4NX_normal.jpg,https://x.com/404slink/status/1944424793878495454,tweet_id:1944424793878495454
americanonajaemin,@kuliahsmpesabtu,2025-07-13T15:47:40.000Z,False,"Huhuhu buu semangat buat kita yang ngurus bocil yang tidak sat set,semoga kita diberi kesabaran yang luas ya Bu...(Aku gk ngurusin anakku krna aku blm nikah,tpi aku ngurusin keponakan yg ditinggal Mak bapaknya pisahjd hrs ekstra sabar soalnya takut mrsa gk disayang )",0,0,0,31,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f610', '\\U0001f614']",https://pbs.twimg.com/profile_images/1626330286161264641/o2buDNHV_normal.jpg,https://x.com/kuliahsmpesabtu/status/1944423488967897109,tweet_id:1944423488967897109
lllaaa,@exe__girl,2025-07-13T15:22:29.000Z,False,sumpah gue makin takut klo gue hrs nikah dan punya anak di indonesia kek… ajg dunia ini GAK WARAAASSSSSSSS MASA ADA ANAK SMP JD SIMPENAN OM OM ANJINGGGGG?!?,0,0,0,27,[],[],[],https://pbs.twimg.com/profile_images/1942927973117800449/dS9-b73C_normal.jpg,https://x.com/exe__girl/status/1944417154620899455,tweet_id:1944417154620899455
"𝐁𝐚𝐥𝐝𝐰𝐢𝐧, Matteo",@pacartyty,2025-07-13T15:04:48.000Z,False,Td ditawarin nikah katanya takut janda,0,0,0,5,[],[],[],https://pbs.twimg.com/profile_images/1944073346162843648/KLS_GNNq_normal.jpg,https://x.com/pacartyty/status/1944412701838496103,tweet_id:1944412701838496103
