Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
dimiiii,@sukasarimi,2025-07-10T13:51:19.000Z,False,"Oh ya ibu kos ku cantik bgt walaupun di usia nya yg udah ga muda, masih jadi pertanyaan besar knp dia memilih ga menikah? smpe mau keluar kos ini masih blm tau jawabannya apa, apa karena dia lebih bahagia sendiri atau malah ada trauma sebelumnya",0,0,0,42,[],[],[],https://pbs.twimg.com/profile_images/1943280566507352064/9COV9Azj_normal.jpg,https://x.com/sukasarimi/status/1943307046922690582,tweet_id:1943307046922690582
Aa IjaL,@arizalmania,2025-07-08T13:50:54.000Z,False,skrg pengen yg ngga berhijab. berhijabnya nanti stlh menikahada perempuan berhijab dlm hidup yg bikin trauma soalnya,0,0,0,74,[],[],[],https://pbs.twimg.com/profile_images/1838240719687102464/Y95iEB_k_normal.jpg,https://x.com/arizalmania/status/1942582166241918980,tweet_id:1942582166241918980
cappucina,@doRamifasola_,2025-07-08T09:29:46.000Z,False,"Menikah, tapi gada rasa percaya.
Ada trauma apa itu temen kantormu kak, smpe sgitunya",0,0,0,6.6K,[],[],[],https://pbs.twimg.com/profile_images/1942108800133091328/kILpfhD4_normal.jpg,https://x.com/doRamifasola_/status/1942516447802253643,tweet_id:1942516447802253643
sangilord ♡.,@cemltk,2025-07-08T04:58:36.000Z,False,"(22) 
rumit ga rumit, inti permasalahannya masi seputar trauma, minder daru and ribetnya budhe juno, permasalahan hubungan always, konfliknya 5/10(?) happy ending menikah>>> (7/10)",0,0,0,55,[],[],"['\\U0001f331', '\\U0001f48d']",https://pbs.twimg.com/profile_images/1893573995313696768/0xNLHALB_normal.jpg,https://x.com/cemltk/status/1942448209802191138,tweet_id:1942448209802191138
Qodam,@Silverquee1,2025-07-08T00:25:18.000Z,False,"Jangan di tiru, menjadi gay itu cobaan bisa jadi karena trauma masa kecil atau hub.tak sehat sblmnya, fitrah kita tetap menikah dengan lawan jenis, tapi yang pasti di alam kubur banyak yg menantikan hari kiamat tiba jadi gak usah panik, tujuan hidup itu memperoleh amal kbaikan",0,0,0,12,[],[],[],https://pbs.twimg.com/profile_images/1938896718847676416/1nZEOtVj_normal.jpg,https://x.com/Silverquee1/status/1942379429080260992,tweet_id:1942379429080260992
cappucina,@doRamifasola_,2025-07-08T09:29:46.000Z,False,"Menikah, tapi gada rasa percaya.
Ada trauma apa itu temen kantormu kak, smpe sgitunya",0,0,0,6.6K,[],[],[],https://pbs.twimg.com/profile_images/1942108800133091328/kILpfhD4_normal.jpg,https://x.com/doRamifasola_/status/1942516447802253643,tweet_id:1942516447802253643
indaaaaah,@dyelivery,2025-07-06T04:50:51.000Z,False,"semenjak saat itu, gue takut banget menikah:) bukan karna takut diselingkuhin, tp lebih kepada takut ditinggal meninggal. liat nyokap yang kehilangan arah, kehilangan temen ngobrol, dan banyak hal yang harus diikhlasin itu bikin hancur dan trauma banget :)",0,0,0,66,[],[],[],https://pbs.twimg.com/profile_images/1941524800381349889/BzNQdSTx_normal.jpg,https://x.com/dyelivery/status/1941721480649494806,tweet_id:1941721480649494806
acen,@Ningybizhuo,2025-07-04T16:44:34.000Z,False,MENIKAH MENIKAJ TRAUMA,0,0,0,18,[],[],[],https://pbs.twimg.com/profile_images/1941370338568179712/rZNcWwvn_normal.png,https://x.com/Ningybizhuo/status/1941176320249168017,tweet_id:1941176320249168017
Lillianna von Hause,@meowhaeyo,2025-07-04T16:37:19.000Z,False,"Aku lihat cuplikan banner LaDS yang baru. Habis menikah kok pada passionate sekali ciumannya, guys? Aku habis menikah malah trauma talk karena aku yakin tidak ada yang lebih intim daripada membuka diri dan menceritakan trauma #sikap",0,0,0,33,['#sikap'],[],[],https://pbs.twimg.com/profile_images/1943819477625581568/mLAGErOj_normal.jpg,https://x.com/meowhaeyo/status/1941174496255410391,tweet_id:1941174496255410391
Munssef.ᐟ,@ssefmun,2025-07-04T16:00:12.000Z,False,"-rl kalian ada ga sih yg sebenernya pingin nikah dan ada bayangan punya keluarga yg bahagia, tp krn beberapa hal termasuk trauma buat kalian malah takut utk menikah? aku 25 tahun, sbnernya blm ada keinginan utk menikah. gmn ya kalau semisal ditanya sama keluarga trs?",0,0,0,4.9K,[],[],[],https://pbs.twimg.com/profile_images/1925484819699703810/RQg79eo6_normal.jpg,https://x.com/ssefmun/status/1941165153224917418,tweet_id:1941165153224917418
sid(o)emiw,@andmiwaadv,2025-07-04T05:19:52.000Z,False,"- cukup bikin anak trauma, berpikiran kalau nanti hidupnya pasti bakal berat juga ketika mereka sudah menikah lalu punya anak, sampai ketika dewasa mereka belum bisa mengontrol emosi dan mindset akhirnya memilih untuk childfree bahkan sampai memilih utk tidak menikah.",0,0,0,39,[],[],[],https://pbs.twimg.com/profile_images/1939299055089147904/y-SlALFP_normal.jpg,https://x.com/andmiwaadv/status/1941004008271065170,tweet_id:1941004008271065170
Black Bolt inHumans,@blackBoltinHuma,2025-07-04T02:31:25.000Z,False,Gaji ga sesuai sama biaya hidup mbut. Ga cuma trauma & KDRT aja. Financial selalu jadi momok buat pasangan yg mau menikah & udh menikah.,0,0,0,574,[],[],[],https://pbs.twimg.com/profile_images/1825731434478448640/zCppU3Wd_normal.jpg,https://x.com/blackBoltinHuma/status/1940961616356692210,tweet_id:1940961616356692210
Mikaa,@xolumbina,2025-07-03T13:41:23.000Z,False,"Sempat lost spark waktu dapat qiqi c6 tapi kayaknya itu lebih ke trauma (?) wkwk, sekarang udah balik lagi dan menikah dengan skirk.",0,0,0,21,[],[],[],https://pbs.twimg.com/profile_images/1943277930349760513/4hhidKHs_normal.jpg,https://x.com/xolumbina/status/1940767830112383193,tweet_id:1940767830112383193
