Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
,@naruhach,2025-07-13T17:48:35.000Z,False,"Blm resmi jd mantan, tapi udah ngasih trauma teramat sangat besar, sampe pernah berprinsip gamau punya pasangan lg, gamau nikah lagi, seumur hidup, mau nge jomblo aja, being a single mom dan janda kembang wqwq",0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1928044020326125568/q_bz1UJN_normal.jpg,https://x.com/naruhach/status/1944453921369645182,tweet_id:1944453921369645182
Tyvian,@AntyNovv14,2025-07-13T15:43:13.000Z,False,Trauma banget dan kejadiannya di umur yang udh Mateng buat nikah 27thn,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1912887685439758336/W-6CwfCK_normal.jpg,https://x.com/AntyNovv14/status/1944422372703908081,tweet_id:1944422372703908081
cia,@pinkfunerawl,2025-07-13T14:13:38.000Z,True,"- pas kejebak toxic relationship
- bingung handle my childhood trauma 
- pas di verbal abuse sm mantan
- pas udah putus
- bingung caranya move on krna gagal nikah- ada suicide thoughts, hilang minat, udh self harm (barcode)
- bingung caranya maafin orang tua

langganan ga tuh",0,0,0,94,[],[],['\\U0001f937\\U0001f3fc\\u200d\\u2640\\ufe0f'],https://pbs.twimg.com/profile_images/1938253604126920706/iEDxV9nh_normal.jpg,https://x.com/pinkfunerawl/status/1944399826117869613,tweet_id:1944399826117869613
atikuyy,@atikahnadilah1,2025-07-13T12:20:57.000Z,False,"anjirrr, yaallah aku trauma bgt… udah ah langsung nikah ajaa deh kayanya",0,0,0,9,[],[],['\\U0001f642'],https://pbs.twimg.com/profile_images/1176838591697182720/tmXFME4j_normal.jpg,https://x.com/atikahnadilah1/status/1944371467266977854,tweet_id:1944371467266977854
ar.,@gataupusink,2025-07-13T11:55:29.000Z,True,ada bgt. yg kemarin baru nikah noh yg bikin trauma 3thn terakhir wkwkwk,0,0,0,69,[],[],[],https://pbs.twimg.com/profile_images/1940426628158377984/bQ2_Ycpo_normal.jpg,https://x.com/gataupusink/status/1944365061734092948,tweet_id:1944365061734092948
Kin9leo,@kin9leokin9,2025-07-13T08:54:12.000Z,False,"Perempuan skrg kan gitu, yg gamau nikah aja banyak, apalagi sampai nikah dua kali, trauma dia. Lebi nyaman juga sama dildo ",0,0,0,1.2K,[],[],['\\U0001f601'],https://pbs.twimg.com/profile_images/1375086822322106376/b7QZ-ugr_normal.jpg,https://x.com/kin9leokin9/status/1944319439446606137,tweet_id:1944319439446606137
ジー,@yurikufairy,2025-07-12T19:05:35.000Z,False,"nikah sama orang yg belum selesai sama masa lalunya, digangguin your husband's ex, tuntutan dari eyang, blm lagi keluarga suami yg bermitra sama someone so called ayah dan bikin recalling your trauma, and now THIS NARASI 74 SHIT... maaf ini readers jg kena mentalnya ",0,0,0,59,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f614']",https://pbs.twimg.com/profile_images/1916793240407474176/ZgcT883n_normal.jpg,https://x.com/yurikufairy/status/1944110911289274498,tweet_id:1944110911289274498
nncaaaa.,@Mezaaulia_,2025-07-12T17:39:54.000Z,False,"“apa aku gausah nikah aja ya?” Ini pertanyaan yg sering muncul di kepala terlepas dari semua sakit trauma yg aku rasain yg sakitnya ga bisa aku ceritain ke orang lain bahkan ke org yg paling deket sekalipun, mungkin ini terlalu berlebihan  buat orang yg ga ngerasain yg aku rasain",0,0,0,11,[],[],[],https://pbs.twimg.com/profile_images/1944081820250779648/uSdl1PGh_normal.jpg,https://x.com/Mezaaulia_/status/1944089347529015445,tweet_id:1944089347529015445
𝑫𝒂𝒆𝒏 || 𝓐𝔂𝓮𝓵𝓵𝓼 𝒷𝓇𝒾𝒹𝑒,@ayellsgirl,2025-07-12T15:48:27.000Z,False,Rafayel... di tuh ada trust issue hampir trauma sama nikah soalnya TAPI DAMN BLUD DID IT AGAINN,0,0,0,120,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1919683822108696576/nzcreEpM_normal.jpg,https://x.com/ayellsgirl/status/1944061300524691755,tweet_id:1944061300524691755
Hi!,@inikala_,2025-07-12T13:30:18.000Z,False,Oke Moonjung dah nikah berarti aman dong yaaa??? Jangan ada lagi trauma antara kita,0,0,0,132,[],[],"['\\U0001f62d', '\\U0001f44d\\U0001f3fb']",https://pbs.twimg.com/profile_images/1944096821812269056/pSnYdPDE_normal.jpg,https://x.com/inikala_/status/1944026533439713655,tweet_id:1944026533439713655
